oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
5925,10,NULL,NULL,NULL,5,1,randomly,2021-03-19 11:30:07
5925,15,0,25,3,5,2,randomly,2021-03-19 11:35:18
5925,10,0,20,3,1,3,randomly,2021-03-19 11:37:25
5925,5,0,19,3,2,4,randomly,2021-03-19 11:39:24
5925,5,5,-1,1,6,5,randomly,2021-03-19 11:41:19
5925,5,0,18.5,3,5,6,randomly,2021-03-19 11:43:19
5925,5,5,10,3,4,7,randomly,2021-03-19 11:45:24
5925,5,0,10,3,4,8,randomly,2021-03-19 11:47:10
5925,5,5,6.5,3,5,9,randomly,2021-03-19 11:49:19
5925,5,0,14.5,3,3,10,randomly,2021-03-19 11:51:10
5925,5,5,11.5,3,0,11,randomly,2021-03-19 11:53:10
5925,5,5,14,3,5,12,randomly,2021-03-19 11:55:23
5925,5,5,3.5,3,3,13,randomly,2021-03-19 11:57:26
5925,5,0,15,3,4,14,randomly,2021-03-19 11:59:13
5925,5,0,8,3,2,15,randomly,2021-03-19 12:01:29
5925,5,5,7.5,3,4,16,randomly,2021-03-19 12:03:12
5925,5,5,9.5,3,5,17,randomly,2021-03-19 12:05:41
5925,5,5,13.5,3,2,18,randomly,2021-03-19 12:07:08
5925,5,0,5.5,3,2,19,randomly,2021-03-19 12:09:14
5925,5,5,20,3,1,20,randomly,2021-03-19 12:11:10
6185,10,NULL,NULL,NULL,3,1,assortatively,2021-03-19 11:30:55
6185,10,10,9.5,3,5,2,assortatively,2021-03-19 11:35:34
6185,30,0,15,3,5,3,assortatively,2021-03-19 11:37:37
6185,12,12,11.5,3,7,4,assortatively,2021-03-19 11:39:27
6185,12,12,12,2,5,5,assortatively,2021-03-19 11:41:29
6185,13,0,12,3,5,6,assortatively,2021-03-19 11:43:39
6185,13,0,11,3,5,7,assortatively,2021-03-19 11:45:37
6185,4,4,14.5,3,6,8,assortatively,2021-03-19 11:47:19
6185,5,5,3.5,3,0,9,assortatively,2021-03-19 11:49:26
6185,5,5,5,3,0,10,assortatively,2021-03-19 11:51:21
6185,5,5,5.5,3,0,11,assortatively,2021-03-19 11:53:28
6185,5,0,4.5,3,0,12,assortatively,2021-03-19 11:55:39
6185,5,5,5,3,0,13,assortatively,2021-03-19 11:57:22
6185,5,0,8.5,3,0,14,assortatively,2021-03-19 11:59:20
6185,20,0,5,3,0,15,assortatively,2021-03-19 12:01:15
6185,20,0,30,2,6,16,assortatively,2021-03-19 12:03:19
6185,5,0,17,2,6,17,assortatively,2021-03-19 12:05:33
6185,3,0,7.5,3,0,18,assortatively,2021-03-19 12:07:30
6185,20,20,7,3,0,19,assortatively,2021-03-19 12:09:20
6185,3,0,20,2,6,20,assortatively,2021-03-19 12:11:16
6393,10,NULL,NULL,NULL,4,1,randomly,2021-03-19 11:30:38
6393,8,0,12,3,2,2,randomly,2021-03-19 11:35:17
6393,6,0,24,3,2,3,randomly,2021-03-19 11:37:40
6393,7,0,12.5,3,4,4,randomly,2021-03-19 11:39:37
6393,6,0,5.5,3,0,5,randomly,2021-03-19 11:41:27
6393,5,0,4.5,3,2,6,randomly,2021-03-19 11:43:39
6393,2,2,-1,1,6,7,randomly,2021-03-19 11:45:28
6393,8,8,19,3,1,8,randomly,2021-03-19 11:47:17
6393,5,5,22,3,1,9,randomly,2021-03-19 11:49:26
6393,5,0,25,3,2,10,randomly,2021-03-19 11:51:24
6393,10,0,12,3,2,11,randomly,2021-03-19 11:53:35
6393,8,8,12.5,3,5,12,randomly,2021-03-19 11:55:30
6393,10,0,22,3,0,13,randomly,2021-03-19 11:57:35
6393,10,0,12.5,3,4,14,randomly,2021-03-19 11:59:18
6393,10,0,14.5,3,5,15,randomly,2021-03-19 12:01:18
6393,12,12,12,3,1,16,randomly,2021-03-19 12:03:15
