oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
6397,10,NA,NA,NA,0,1,not,2020-11-12 18:31:49
6397,10,0,10.5,3,0,2,not,2020-11-12 18:34:50
6397,10,10,14.5,3,0,3,not,2020-11-12 18:36:40
6397,11,11,15,3,0,4,not,2020-11-12 18:38:37
6397,12,0,15.5,3,0,5,not,2020-11-12 18:40:57
6397,12,0,13,3,0,6,not,2020-11-12 18:42:41
6397,12,12,18,3,0,7,not,2020-11-12 18:44:51
6397,12,12,18,3,0,8,not,2020-11-12 18:46:45
6397,14,0,18,3,0,9,not,2020-11-12 18:48:37
6397,12,0,15.5,3,0,10,not,2020-11-12 18:50:40
6397,10,10,16.5,3,0,11,not,2020-11-12 18:52:50
6397,12,0,16,3,0,12,not,2020-11-12 18:54:37
6397,9,9,14.5,3,0,13,not,2020-11-12 18:56:50
6397,10,0,14,3,0,14,not,2020-11-12 18:58:40
6397,9,0,14.5,3,0,15,not,2020-11-12 19:00:59
6397,8,0,13,3,0,16,not,2020-11-12 19:03:06
6397,15,0,14,3,0,17,not,2020-11-12 19:04:53
6397,7,0,17,3,0,18,not,2020-11-12 19:07:03
6397,8,0,16.5,3,0,19,not,2020-11-12 19:08:35
6397,10,10,14.5,3,0,20,not,2020-11-12 19:11:02
6884,8,NA,NA,NA,1,1,not,2020-11-12 18:30:18
6884,9,0,11,3,0,2,not,2020-11-12 18:34:44
6884,9,9,15,3,0,3,not,2020-11-12 18:36:50
6884,10,10,15.5,3,0,4,not,2020-11-12 18:38:48
6884,11,0,16,3,0,5,not,2020-11-12 18:40:52
6884,11,0,13.5,3,0,6,not,2020-11-12 18:42:48
6884,11,11,18.5,3,0,7,not,2020-11-12 18:44:51
6884,11,11,18.5,3,0,8,not,2020-11-12 18:46:52
6884,11,0,19.5,3,0,9,not,2020-11-12 18:48:55
6884,11,0,16,3,0,10,not,2020-11-12 18:50:43
6884,15,15,14,3,0,11,not,2020-11-12 18:52:51
6884,14,0,15,3,0,12,not,2020-11-12 18:54:42
6884,14,14,12,3,0,13,not,2020-11-12 18:56:42
6884,14,0,12,3,0,14,not,2020-11-12 18:58:38
6884,14,0,12,3,0,15,not,2020-11-12 19:00:51
6884,14,0,10,3,0,16,not,2020-11-12 19:02:52
6884,12,0,15.5,3,0,17,not,2020-11-12 19:04:52
6884,14,0,13.5,3,0,18,not,2020-11-12 19:06:47
6884,15,0,13,3,0,19,not,2020-11-12 19:08:46
6884,14,14,12.5,3,0,20,not,2020-11-12 19:10:40
7434,6,NA,NA,NA,2,1,not,2020-11-12 18:31:11
7434,12,0,9.5,3,0,2,not,2020-11-12 18:34:56
7434,20,20,9.5,3,0,3,not,2020-11-12 18:36:46
7434,20,20,10.5,3,0,4,not,2020-11-12 18:39:11
7434,20,0,11.5,3,0,5,not,2020-11-12 18:40:40
7434,15,0,11.5,3,0,6,not,2020-11-12 18:42:50
7434,25,25,11.5,3,0,7,not,2020-11-12 18:44:58
7434,25,25,11.5,3,0,8,not,2020-11-12 18:47:00
7434,25,0,12.5,3,0,9,not,2020-11-12 18:48:49
7434,20,0,11.5,3,0,10,not,2020-11-12 18:50:47
7434,18,18,12.5,3,0,11,not,2020-11-12 18:52:54
7434,18,0,13,3,0,12,not,2020-11-12 18:54:50
7434,15,15,11.5,3,0,13,not,2020-11-12 18:56:42
7434,14,0,12,3,0,14,not,2020-11-12 18:58:50
7434,15,0,11.5,3,0,15,not,2020-11-12 19:00:55
7434,12,0,11,3,0,16,not,2020-11-12 19:03:06
7434,16,0,13.5,3,0,17,not,2020-11-12 19:04:54
7434,20,0,10.5,3,0,18,not,2020-11-12 19:06:39
7434,18,0,11.5,3,0,19,not,2020-11-12 19:08:50
7434,15,15,12,3,0,20,not,2020-11-12 19:10:59
9657,10,NA,NA,NA,3,1,assortatively,2020-11-12 18:30:47
9657,7,0,11,3,2,2,assortatively,2020-11-12 18:35:37
9657,6,0,16.5,3,1,3,assortatively,2020-11-12 18:37:01
9657,16,0,10.5,3,1,4,assortatively,2020-11-12 18:39:37
9657,6,0,30,2,4,5,assortatively,2020-11-12 18:40:43
9657,1,1,5,3,1,6,assortatively,2020-11-12 18:43:18
9657,15,15,4.5,3,0,7,assortatively,2020-11-12 18:45:15
9657,15,0,30,2,4,8,assortatively,2020-11-12 18:46:47
9657,10,10,12.5,3,3,9,assortatively,2020-11-12 18:48:46
9657,10,10,9.5,3,2,10,assortatively,2020-11-12 18:51:09
9657,10,10,8,3,1,11,assortatively,2020-11-12 18:53:08
9657,10,0,3.5,3,2,12,assortatively,2020-11-12 18:54:33
9657,10,10,10,3,2,13,assortatively,2020-11-12 18:57:07
9657,8,8,12.5,3,2,14,assortatively,2020-11-12 18:58:53
9657,10,10,12.5,3,1,15,assortatively,2020-11-12 19:00:52
9657,9,0,11.5,3,2,16,assortatively,2020-11-12 19:03:01
9657,9,9,8.5,3,2,17,assortatively,2020-11-12 19:04:56
9657,9,9,20,3,2,18,assortatively,2020-11-12 19:06:35
9657,9,9,6.5,3,1,19,assortatively,2020-11-12 19:08:52
9657,9,9,7.5,3,2,20,assortatively,2020-11-12 19:10:35
9843,5,NA,NA,NA,1,1,assortatively,2020-11-12 18:30:06
9843,6,0,5.5,3,0,2,assortatively,2020-11-12 18:34:48
9843,9,9,3.5,3,0,3,assortatively,2020-11-12 18:36:37
9843,8,0,7.5,3,2,4,assortatively,2020-11-12 18:38:43
